2025-01-01,Automated Banking Machine ATM DEPOSIT TORONTO,,2000.0
2025-01-01,Internet Banking E-TRANSFER 349282506970 BLUE HOCKEY CLUB,50.0,
2025-01-02,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 075315779528 PRESTO,3.0,
2025-01-03,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 590882755618 PRESTO,9.0,
2025-01-04,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 307133001664 PRESTO,9.0,
2025-01-05,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 149945124709 PRESTO,12.0,
2025-01-06,Point of Sale - Interac RETAIL PURCHASE 827082849389 PIZZA,16.0,
2025-01-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 640705626995 PRESTO,7.0,
2025-01-07,Point of Sale - Interac RETAIL PURCHASE 041028228762 PIZZA,14.0,
2025-01-07,Internet Banking INTERNET TRANSFER 755558011330 ,64.0,
2025-01-09,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 181254080965 PRESTO,5.0,
2025-01-10,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 930426344773 PRESTO,9.0,
2025-01-10,Point of Sale - Interac RETAIL PURCHASE 782686208594 PIZZA,17.0,
2025-01-11,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 415795955967 PRESTO,7.0,
2025-01-12,Point of Sale - Interac RETAIL PURCHASE 067466361813 PIZZA,19.0,
2025-01-12,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 047559505008 PRESTO,7.0,
2025-01-13,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 338038103104 PRESTO,5.0,
2025-01-14,Internet Banking INTERNET TRANSFER 996991902804 ,80.0,
2025-01-15,Point of Sale - Interac RETAIL PURCHASE 292376412029 PIZZA,14.0,
2025-01-15,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 591455562222 PRESTO,12.0,
2025-01-16,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE 869205767113 PRESTO,4.0,
