2025-01-01,Automated Banking Machine ATM DEPOSIT TORONTO,,2000.0
2025-01-31,Internet Banking E-TRANSFER 497466188861 LANDLORD,1500.0,
2025-01-31,Internet Banking E-TRANSFER 023468170802 LANDLORD,283.0,
2025-01-31,Internet Banking INTERNET TRANSFER 125959237893 ,,50000.0
2025-02-28,Internet Banking E-TRANSFER 233755062894 LANDLORD,1500.0,
2025-02-28,Internet Banking E-TRANSFER 307059499977 LANDLORD,277.0,
2025-02-28,Internet Banking INTERNET TRANSFER 302543818917 ,,50000.0
2025-03-31,Internet Banking INTERNET TRANSFER 838173975039 ,,50000.0
2025-03-31,Internet Banking E-TRANSFER 410913019913 LANDLORD,284.0,
2025-03-31,Internet Banking E-TRANSFER 528426674492 LANDLORD,1500.0,
2025-04-30,Internet Banking E-TRANSFER 829120631610 LANDLORD,1500.0,
2025-04-30,Internet Banking E-TRANSFER 200541329033 LANDLORD,291.0,
2025-04-30,Internet Banking INTERNET TRANSFER 732015329788 ,,50000.0
2025-05-31,Internet Banking E-TRANSFER 625353525455 LANDLORD,1500.0,
2025-05-31,Internet Banking E-TRANSFER 513036925420 LANDLORD,294.0,
2025-05-31,Internet Banking INTERNET TRANSFER 199266785895 ,,50000.0
2025-06-30,Internet Banking E-TRANSFER 966334448033 LANDLORD,264.0,
2025-06-30,Internet Banking INTERNET TRANSFER 647328542519 ,,50000.0
2025-06-30,Internet Banking E-TRANSFER 546538355224 LANDLORD,1500.0,
2025-07-31,Internet Banking E-TRANSFER 875882121947 LANDLORD,1500.0,
2025-07-31,Internet Banking E-TRANSFER 130782139534 LANDLORD,268.0,
2025-07-31,Internet Banking INTERNET TRANSFER 224938125884 ,,50000.0
2025-08-31,Internet Banking E-TRANSFER 252841963626 LANDLORD,1500.0,
2025-08-31,Internet Banking E-TRANSFER 773497235500 LANDLORD,253.0,
2025-08-31,Internet Banking INTERNET TRANSFER 213841671997 ,,50000.0
2025-09-30,Internet Banking INTERNET TRANSFER 055336254384 ,,50000.0
2025-09-30,Internet Banking E-TRANSFER 515191359104 LANDLORD,1500.0,
2025-09-30,Internet Banking E-TRANSFER 089744038644 LANDLORD,261.0,
2025-10-31,Internet Banking E-TRANSFER 176098198763 LANDLORD,1500.0,
2025-10-31,Internet Banking E-TRANSFER 166437367261 LANDLORD,277.0,
2025-10-31,Internet Banking INTERNET TRANSFER 576395623352 ,,50000.0
2025-11-30,Internet Banking E-TRANSFER 642949362465 LANDLORD,1500.0,
2025-11-30,Internet Banking E-TRANSFER 595706408477 LANDLORD,286.0,
2025-11-30,Internet Banking INTERNET TRANSFER 217777030307 ,,50000.0
2025-12-31,Internet Banking E-TRANSFER 103978351491 LANDLORD,279.0,
2025-12-31,Internet Banking E-TRANSFER 181227351012 LANDLORD,1500.0,
2025-12-31,Internet Banking INTERNET TRANSFER 794179128749 ,,50000.0
